date,time,pair,side,strategy,entry,briefed_entry_zone,entry_dist_pips,in_zone,briefed_plan,plan_prob,plan_conf,exec_sl,briefed_sl,sl_dev_pips,exec_tp1,briefed_tp,tp_dev_pips,fire_path,mins_after_briefing,pnl_leg1_pips,pnl_all_legs_pips,pnl_source,close_reason,briefing_file
2026-05-22,05:40,EURUSD,SELL,BRIEFING_FXI_FIRST_S,11614.1,11620.0-11624.0,5.9,N,NY range fade if London consolidates,0.28,LOW,11631.6,11630.0,1.6,11577.6,11610.0,32.4,,9,-0.6,-0.6,single-leg,PRE_NEWS_CLOSE,briefing_EURUSD_2026-05-22_London.json
2026-05-22,05:40,USDCAD,BUY,BRIEFING_FXI_FIRST_L,13791.7,13797.0-13802.0,5.3,N,Continuation long on retest,0.32,MEDIUM,13778.85,13790.0,11.15,13818.85,13815.0,3.85,,1021,-6.4,-6.4,single-leg,PRE_NEWS_CLOSE,briefing_USDCAD_2026-05-22_London.json
2026-05-29,05:38,GBPUSD,SELL,BRIEFING_FXI_FIRST_S,13437.2,13446.0-13449.0,8.8,N,London range fade at highs,0.35,LOW,13455.35,13456.0,0.65,13399.35,13435.0,35.65,,7,-1.0,-1.0,single-leg,PRE_NEWS_CLOSE,briefing_GBPUSD_2026-05-29_NY.json
2026-05-29,05:38,EURUSD,SELL,BRIEFING_FXI_FIRST_S,11640.6,11643.0-11647.0,2.4,N,Range continuation short from resistance,0.3,MEDIUM,11661.5,11655.0,6.5,11609.5,11633.0,23.5,,5,-8.0,-8.0,single-leg,REGIME_MAX_HOLD,briefing_EURUSD_2026-05-29_NY.json
2026-05-29,05:38,USDCAD,SELL,BRIEFING_FXI_FIRST_S,13787.5,13791.0-13796.0,3.5,N,Range fade short from 13795,0.38,LOW,13802.15,13802.0,0.15,13760.15,13780.0,19.85,,2,-7.2,-7.2,single-leg,REGIME_MAX_HOLD,briefing_USDCAD_2026-05-29_London.json
2026-06-01,06:25,GBPUSD,SELL,BRIEFING_EXECUTION,13459.5,13452.0-13455.0,4.5,N,NY reversal short after London range,0.35,MEDIUM,13474.2,13465.0,9.2,13446.5,13440.0,6.5,trend_entry_fallback,54,-14.15,-14.15,single-leg,SL hit,briefing_GBPUSD_2026-06-01_London.json
2026-06-01,06:45,USDCAD,SELL,BRIEFING_EXECUTION,13804.9,13805.0-13815.0,0.1,N,NY reversal short if London sweeps high,0.35,MEDIUM,13828.8,13828.0,0.8,13776.9,13778.1,1.2,trend_entry_fallback,67,-22.95,-22.95,single-leg,SL hit,briefing_USDCAD_2026-06-01_London.json
2026-06-02,06:30,USDCAD,BUY,BRIEFING_EXECUTION,13839.6,13830.0-13835.0,4.6,N,Post-JOLTs range continuation,0.28,LOW,13818.6,13822.0,3.4,13848.6,13850.0,1.4,trend_entry_fallback,50,12.65,11.325,reconstructed,External/manual close detected (IG open positions),briefing_USDCAD_2026-06-02_NY.json
2026-06-02,06:40,EURUSD,SELL,BRIEFING_EXECUTION,11650.4,11648.0-11652.0,0.0,Y,Buy-side liquidity fade at BB upper resistance,0.38,MEDIUM,11659.7,11660.0,0.3,11613.7,11630.0,16.3,phase2_sweep_reclaim,39,17.6,13.8,reconstructed,EOD_CLOSE,briefing_EURUSD_2026-06-02_London.json
2026-06-02,14:00,USDJPY,BUY,BRIEFING_EXECUTION,15988.5,15982.5-15985.0,3.5,N,Breakout continuation above 15982,0.2,LOW,15977.5,15970.0,7.5,16007.5,15995.0,12.5,trend_entry_fallback,73,-1.8,-1.8,single-leg,IG_RECONCILE,briefing_USDJPY_2026-06-02_London.json
