week_commencing,trades,net_pips_all_legs,mean_pips,win_rate_pct,cum_net_pips
2026-05-18,2,-7.0,-3.5,0.0,-7.0
2026-05-25,3,-16.2,-5.4,0.0,-23.2
2026-06-01,12,-22.35,-1.86,41.7,-45.55
2026-06-08,10,5.15,0.52,50.0,-40.4
2026-06-15,11,61.25,5.57,81.8,20.85
2026-06-22,9,-64.38,-7.15,33.3,-43.52
2026-06-29,1,5.05,5.05,100.0,-38.47
2026-07-06,2,10.03,5.01,100.0,-28.45
2026-07-13,1,-15.55,-15.55,0.0,-44.0
2026-07-20,11,27.6,2.51,63.6,-16.4
2026-07-27,7,51.68,7.38,71.4,35.28
2026-08-03,1,35.38,35.38,100.0,70.65
2026-08-10,2,-37.15,-18.57,0.0,33.5
2026-08-17,8,-32.15,-4.02,50.0,1.35
2026-08-24,5,-34.17,-6.83,40.0,-32.82
2026-08-31,5,24.98,5.0,80.0,-7.85
