ts_open,mode,dir,entry,actual_pnl,actual_reason,LADDER_pnl,LADDER_reason,RATCHET_pnl,RATCHET_reason
2026-05-27T08:10:01Z,EMA_PULLBACK_S,SELL,13444.75,-5.75,External/manual close detected (IG open positions),7.0,LADDER_RATCHET_STOP,0.0,SL
2026-05-27T10:40:01Z,EMA_PULLBACK_S,SELL,13438.55,15.75,TP hit,-2.400000000001455,LADDER_ASSESS_EXPIRED,-12.0,SL
2026-05-27T14:30:01Z,EMA_PULLBACK_L,BUY,13448.75,-19.25,SL hit,-12.0,INIT_SL,-12.0,SL
2026-05-28T10:35:02Z,EMA_PULLBACK_S,SELL,13395.65,-11.65,External/manual close detected (IG open positions),2.600000000000364,LADDER_ASSESS_EXPIRED,-12.0,SL
2026-05-29T10:05:03Z,EMA_PULLBACK_S,SELL,13413.75,-18.95,SL hit,-12.0,INIT_SL,-12.0,SL
2026-05-29T15:25:02Z,EMA_PULLBACK_L,BUY,13478.45,-8.15,External/manual close detected (IG open positions),-12.0,INIT_SL,-12.0,SL
2026-06-01T06:45:02Z,EMA_PULLBACK_L,BUY,13465.75,-10.6,STRUCTURE_EXIT:structure_flip_down: last_close=13458.75000 < prior_5_low=13460.45000_ pnl=-10.1p,-12.0,INIT_SL,0.0,SL
2026-06-01T08:25:02Z,EMA_PULLBACK_L,BUY,13467.35,-11.9,STRUCTURE_EXIT:structure_flip_down: last_close=13457.65000 < prior_5_low=13458.15000_ pnl=-11.5p,-12.0,INIT_SL,-12.0,SL
2026-06-01T12:30:02Z,EMA_PULLBACK_L,BUY,13466.45,-11.0,STRUCTURE_EXIT:structure_flip_down: last_close=13456.65000 < prior_5_low=13462.05000_ pnl=-10.2p,-12.0,INIT_SL,-12.0,SL
2026-06-01T16:50:02Z,EMA_PULLBACK_L,BUY,13453.45,0.35,Breakeven stop hit (IG server-side),4.5,FLAT_2040,4.5,FLAT_2040
2026-06-02T07:35:02Z,EMA_PULLBACK_L,BUY,13474.35,-10.8,STRUCTURE_EXIT:structure_flip_down: last_close=13464.45000 < prior_5_low=13464.75000_ pnl=-10.3p,-2.1999999999989086,LADDER_RATCHET_STOP,-12.0,SL
2026-06-02T15:25:01Z,EMA_PULLBACK_L,BUY,13479.15,-11.4,STRUCTURE_EXIT:structure_flip_down: last_close=13468.45000 < prior_5_low=13470.95000_ pnl=-11.1p,-12.0,INIT_SL,-12.0,SL
2026-06-03T06:50:04Z,EMA_PULLBACK_S,SELL,13445.25,-18.3,STRUCTURE_EXIT:structure_flip_up: last_close=13462.45000 > prior_5_high=13458.55000_ pnl=-17.7p,-6.700000000000728,LADDER_ASSESS_EXPIRED,-12.0,SL
2026-06-03T08:40:03Z,EMA_PULLBACK_S,SELL,13443.75,-10.6,STRUCTURE_EXIT:structure_flip_up: last_close=13450.35000 > prior_5_high=13450.05000_ pnl=-10.1p,-2.2000000000007276,LADDER_RATCHET_STOP,-12.0,SL
2026-06-03T13:15:03Z,EMA_PULLBACK_S,SELL,13432.75,15.0,IG_RECONCILE,-3.900000000001455,LADDER_RATCHET_STOP,0.0,SL
